date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1995-01-07,1,Donna Summer,Melody Of Love (Wanna Be Loved),2,1,9
1995-01-07,2,Ace Of Base,Living In Danger,1,1,9
1995-01-07,3,Industry,Release Me,6,3,11
1995-01-07,4,Carleen Anderson,Mama Said,7,4,8
1995-01-07,5,Tom Jones,If I Only Knew,10,5,8
1995-01-07,6,Seal,Newborn Friend,11,6,7
1995-01-07,7,M People,Excited,5,1,11
1995-01-07,8,Hed Boys,Girls + Boys,3,2,11
1995-01-07,9,Moby,Feeling So Real,13,9,7
1995-01-07,10,Corona,The Rhythm Of The Night,14,10,7
1995-01-07,11,Janet Jackson,You Want This,15,11,6
1995-01-07,12,Armand Van Helden,Witch Doktor,18,12,6
1995-01-07,13,Blondie,Rapture (Remix),8,8,10
1995-01-07,14,Reel 2 Real Featuring The Mad Stuntman,Can You Feel It?,4,3,12
1995-01-07,15,Toni Childs,Lay Down Your Pain,17,15,7
1995-01-07,16,Barbara Tucker,I Get Lifted,24,16,4
1995-01-07,17,Nicole,Runnin Away,12,3,13
1995-01-07,18,Deee-Lite,Call Me,25,18,4
1995-01-07,19,Jam & Spoon Featuring Plavka,Find Me,16,16,8
1995-01-07,20,Madonna,Secret,9,1,11
1995-01-07,21,Dr. Alban,Away From Home,29,21,5
1995-01-07,22,MSM (Miami Sound Machine),Jambala,28,22,6
1995-01-07,23,Urban Motion Project III,Clublife (It's The Music),21,21,8
1995-01-07,24,The Brand New Heavies,Spend Some Time,32,24,4
1995-01-07,25,Kleo,Tell Me,19,11,11
1995-01-07,26,Spirits,Don't Bring Me Down,34,26,4
1995-01-07,27,Ebony Vibe Everlasting (E.V.E.),Groove Of Love,20,14,10
1995-01-07,28,C+C Music Factory Featuring Trilogy,Take A Toke,33,28,5
1995-01-07,29,Daphne,Change,35,29,5
1995-01-07,30,Lightning Seeds,Lucky You,37,30,5
1995-01-07,31,e.g. Fullalove,Didn't I Know (Divas To The Dancefloor...Please),39,31,4
1995-01-07,32,The Blackout Allstars,I Like It,23,19,9
1995-01-07,33,Lagaylia,Shower Me With Love,40,33,3
1995-01-07,34,3rd Nation,I Believe,36,34,4
1995-01-07,35,Ini Kamoze,Here Comes The Hotstepper,26,22,9
1995-01-07,36,The Chosen Few,Funky Jumpy Music,38,36,5
1995-01-07,37,Mack Vibe Featuring Jacqueline,Mr. Meaner (Mis-de-Meanor),41,37,4
1995-01-07,38,Thelma Houston,Don't Leave Me This Way,47,38,3
1995-01-07,39,EYC,Black Book,48,39,3
1995-01-07,40,Livin' Joy,Dreamer,22,1,14
1995-01-07,41,Mariah Carey,Joy To The World,50,41,3
1995-01-07,42,The Sounds Of Blackness,Everything Is Gonna Be Alright,27,10,12
1995-01-07,43,Messiah,I Feel Love,54,43,1
1995-01-07,44,C+C Music Factory,Robi-Rob's Boriqua Anthem,49,44,3
1995-01-07,45,Traci Lords,Control,,45,1
1995-01-07,46,Andru Donalds,Mishale,31,29,9
1995-01-07,47,Enchanted,Enchanted,,47,1
1995-01-07,48,Sound Factory,Come Take Control,30,12,13
1995-01-07,49,Head Rush,Underground,43,38,6
1995-01-07,50,Gloria Estefan,Turn The Beat Around,46,1,14
1995-01-07,51,Pet Shop Boys,Yesterday When I Was Mad,,51,
1995-01-07,53,Sticks & Stones,Give It To Me,,53,
1995-01-14,1,Donna Summer,Melody Of Love (Wanna Be Loved),1,1,10
1995-01-14,2,Seal,Newborn Friend,6,2,8
