date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1992-01-04,1,Michael Jackson,Black Or White,1,1,7
1992-01-04,2,Boyz II Men,It's So Hard To Say Goodbye To Yesterday,2,2,16
1992-01-04,3,Color Me Badd,All 4 Love,3,3,9
1992-01-04,4,Mariah Carey,Can't Let Go,6,4,8
1992-01-04,5,P.M. Dawn,Set Adrift On Memory Bliss,4,1,12
1992-01-04,6,CeCe Peniston,Finally,8,6,15
1992-01-04,7,Michael Bolton,When A Man Loves A Woman,5,1,13
1992-01-04,8,M.C. Hammer,2 Legit 2 Quit,9,8,9
1992-01-04,9,Paula Abdul,Blowing Kisses In The Wind,7,6,12
1992-01-04,10,Marky Mark & The Funky Bunch,Wildside,10,10,9
1992-01-04,11,M.C. Hammer,Addams Groove,20,11,5
1992-01-04,12,George Michael/Elton John,Don't Let The Sun Go Down On Me,19,12,5
1992-01-04,13,Nirvana,Smells Like Teen Spirit,17,13,5
1992-01-04,14,Genesis,No Son Of Mine,13,13,10
1992-01-04,15,Richard Marx,Keep Coming Back,12,12,10
1992-01-04,16,Amy Grant,That's What Love Is For,11,7,15
1992-01-04,17,Shanice,I Love Your Smile,25,17,7
1992-01-04,18,Naughty By Nature,O.P.P.,15,6,18
1992-01-04,19,Prince And The N.P.G.,Diamonds And Pearls,30,19,5
1992-01-04,20,Guns N' Roses,Don't Cry,18,10,16
1992-01-04,21,U2,Mysterious Ways,26,21,7
1992-01-04,22,Gloria Estefan,Live For Loving You,22,22,13
1992-01-04,23,Rod Stewart,Broken Arrow,24,23,12
1992-01-04,24,Bryan Adams,Can't Stop This Thing We Started,21,2,17
1992-01-04,25,Salt-N-Pepa,Let's Talk About Sex,16,13,20
1992-01-04,26,Prince And The N.P.G.,Cream,14,1,15
1992-01-04,27,Karyn White,The Way I Feel About You,35,27,6
1992-01-04,28,Tevin Campbell,Tell Me What You Want Me To Do,32,28,9
1992-01-04,29,Jodeci,Forever My Lady,28,25,11
1992-01-04,30,Lisa Stansfield,Change,31,30,10
1992-01-04,31,Roberta Flack With Maxi Priest,Set The Night To Music,23,6,16
1992-01-04,32,Roxette,Spending My Time,34,32,11
1992-01-04,33,Stacy Earl,Love Me All Up,36,33,8
1992-01-04,34,Angelica,Angel Baby,38,30,12
1992-01-04,35,Geto Boys,Mind Playing Tricks On Me,39,30,14
1992-01-04,36,Keith Sweat,Keep It Comin',41,36,6
1992-01-04,37,Cher,Save Up All Your Tears,40,37,12
1992-01-04,38,Mariah Carey,Emotions,37,1,19
1992-01-04,39,The Storm,I've Got A Lot To Learn About Love,45,39,11
1992-01-04,40,Motley Crue,Home Sweet Home,44,40,9
1992-01-04,41,Heavy D & The Boyz,Is It Good To You,50,41,7
1992-01-04,42,Tracie Spencer,Tender Kisses,42,42,12
1992-01-04,43,Nia Peeples,Street Of Dreams,33,12,13
1992-01-04,44,Metallica,Enter Sandman,47,16,20
1992-01-04,45,The Party,In My Dreams,55,45,8
1992-01-04,46,Metallica,The Unforgiven,53,46,5
1992-01-04,47,Kym Sims,Too Blind To See It,51,47,8
1992-01-04,48,Bonnie Raitt,I Can't Make You Love Me,56,48,7
1992-01-04,49,D.J. Jazzy Jeff & The Fresh Prince,Ring My Bell,52,20,13
1992-01-04,50,Curtis Stigers,I Wonder Why,46,9,18
1992-01-04,51,Shabba Ranks (Featuring Maxi Priest),Housecall,49,37,11
1992-01-04,52,Scorpions,Send Me An Angel,57,52,9
1992-01-04,53,Natural Selection,Hearts Don't Think (They Feel),59,53,5
1992-01-04,54,Kid 'N Play,Ain't Gonna Hurt Nobody,62,54,8
1992-01-04,55,Public Enemy,Can't Truss It,58,50,12
1992-01-04,56,Van Halen,Top Of The World,48,27,13
1992-01-04,57,Digital Underground,Kiss You Back,64,57,8
1992-01-04,58,Icy Blu,I Wanna Be Your Girl,61,58,10
1992-01-04,59,Lighter Shade Of Brown,On A Sunday Afternoon,63,59,6
1992-01-04,60,Firehouse,All She Wrote,60,60,8
1992-01-04,61,Lita Ford,Shot Of Poison,54,45,10
1992-01-04,62,Right Said Fred,I'm Too Sexy,67,62,3
1992-01-04,63,Boyz II Men,Uhh Ahh,78,63,4
1992-01-04,64,Guns N' Roses,Live And Let Die,95,64,3
1992-01-04,65,C+C Music Factory Presents Zelma Davis,Just A Touch Of Love,65,50,9
1992-01-04,66,Vanessa Williams,The Comfort Zone,70,66,5
1992-01-04,67,Jody Watley,I Want You,71,67,6
1992-01-04,68,Corina,Whispers,74,51,15
1992-01-04,69,M.C. Breed & D.F.C.,Ain't No Future In Yo' Fronting,69,67,17
1992-01-04,70,Bryan Adams,There Will Never Be Another Tonight,87,70,3
1992-01-04,71,Ozzy Osbourne,No More Tears,73,71,6
1992-01-04,72,Mr. Big,To Be With You,82,72,3
1992-01-04,73,Lisette Melendez,A Day In My Life (Without You),68,49,15
