date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1991-01-05,1,Ana Gabriel,Es Demasiado Tarde,1,1,10
1991-01-05,2,Roberto Carlos,Pajaro Herido,2,2,7
1991-01-05,3,Marisela,Y Se Que Vas A Llorar,4,3,9
1991-01-05,4,Braulio,El Tribunal Del Amor,3,3,10
1991-01-05,5,Luis Miguel,Entregate,6,1,16
1991-01-05,6,Rudy La Scala,Cuando Yo Amo,5,5,9
1991-01-05,7,Jose Jose,Atrapado,7,7,9
1991-01-05,8,Emmanuel,Bella Senora,18,8,3
1991-01-05,9,Gloria Estefan,Renacer,8,7,11
1991-01-05,10,Myriam Hernandez,Te Pareces Tanto A El,13,10,4
1991-01-05,11,Gilberto Santa Rosa,Perdoname,25,11,5
1991-01-05,12,Jose Luis Rodriguez,La Fiesta,12,12,5
1991-01-05,13,Luis Enrique,Y Pensar,24,13,5
1991-01-05,14,Angelica Maria,Reina Y Cenicienta,9,9,12
1991-01-05,15,Bronco: El Gigante De America,Corazon Duro,16,5,15
1991-01-05,16,Vicente Y Alejandro Fernandez,Amor De los Dos,17,14,10
1991-01-05,17,Juan Luis Guerra 440,A Pedir Su Mano,20,17,6
1991-01-05,18,Wilfrido Vargas,Bachata Merengue,21,18,3
1991-01-05,19,Rocio Durcal,La Balanza,11,11,8
1991-01-05,20,Luna,Un Amor Como El Mio,15,15,6
1991-01-05,21,Juan Luis Guerra 440,Burbujas De Amor,14,2,27
1991-01-05,22,Yordano,Madera Fina,35,22,3
1991-01-05,23,Chayanne,Completamente Enamorados,10,1,18
1991-01-05,24,Lourdes Robles,Abrazame Fuerte,19,1,15
1991-01-05,25,Alejandra Guzman,Ten Cuidado Con El Corazon,22,22,4
1991-01-05,26,Yolandita Monge,Fuiste Un Sueno,,26,1
1991-01-05,27,Jose Feliciano,No Puedo Estar Sin Ti,37,27,6
1991-01-05,28,Alvaro Torres,Mi Verdadero Amor,28,28,3
1991-01-05,29,Los Temerarios,Solo Te Quiero A Ti,33,17,18
1991-01-05,30,Los Temerarios,Creo Que Voy A Llorar,26,26,13
1991-01-05,31,David Pabon,Y Nos Amamos,23,19,7
1991-01-05,32,Los Bondadosos,Un Angel No Debe Llorar,,32,1
1991-01-05,33,Maria Conchita Alonso,Hazme Sentir,29,24,6
1991-01-05,34,Juan Ramon,Pero Vas A Extranarme,,34,1
1991-01-05,35,Joan Sebastian,Caricatura,32,24,9
1991-01-05,36,Bronco: El Gigante De America,Los Castigados,31,31,7
1991-01-05,37,Pimpinela,Cuanto Te Quiero,30,13,16
1991-01-05,38,Tony Vega,Me Quito El Nombre,36,25,6
1991-01-05,39,La Sonora Dinamita,El Viejo del Sombreron,27,16,13
1991-01-05,40,Los Hijos de Puerto Rico,Fiesta En La Vecindad,34,34,3
1991-01-12,1,Ana Gabriel,Es Demasiado Tarde,1,1,11
1991-01-12,2,Roberto Carlos,Pajaro Herido,2,2,8
1991-01-12,3,Marisela,Y Se Que Vas A Llorar,3,3,10
1991-01-12,4,Braulio,El Tribunal Del Amor,4,3,11
1991-01-12,5,Rudy La Scala,Cuando Yo Amo,6,5,10
1991-01-12,6,Emmanuel,Bella Senora,8,6,4
1991-01-12,7,Luis Miguel,Entregate,5,1,17
1991-01-12,8,Jose Luis Rodriguez,La Fiesta,12,8,6
1991-01-12,9,Jose Jose,Atrapado,7,7,10
1991-01-12,10,Myriam Hernandez,Te Pareces Tanto A El,10,10,5
1991-01-12,11,Rocio Durcal,La Balanza,19,11,9
1991-01-12,12,Gloria Estefan,Renacer,9,7,12
1991-01-12,13,Juan Luis Guerra 440,A Pedir Su Mano,17,13,7
1991-01-12,14,Gilberto Santa Rosa,Perdoname,11,11,6
1991-01-12,15,Luis Enrique,Y Pensar,13,13,6
1991-01-12,16,Bronco: El Gigante De America,Corazon Duro,15,5,16
1991-01-12,17,Luna,Un Amor Como El Mio,20,15,7
1991-01-12,18,Vicente Y Alejandro Fernandez,Amor De los Dos,16,14,11
1991-01-12,19,Yordano,Madera Fina,22,19,4
1991-01-12,20,Juan Luis Guerra 440,Burbujas De Amor,21,2,28
1991-01-12,21,Alejandra Guzman,Ten Cuidado Con El Corazon,25,21,5
1991-01-12,22,Angelica Maria,Reina Y Cenicienta,14,9,13
1991-01-12,23,Yolandita Monge,Fuiste Un Sueno,26,23,2
1991-01-12,24,Wilfrido Vargas,Bachata Merengue,18,18,4
1991-01-12,25,Chayanne,Completamente Enamorados,23,1,19
1991-01-12,26,Alvaro Torres,Mi Verdadero Amor,28,26,4
1991-01-12,27,Juan Ramon,Pero Vas A Extranarme,34,27,2
1991-01-12,28,Los Bondadosos,Un Angel No Debe Llorar,32,28,2
1991-01-12,29,Lourdes Robles,Abrazame Fuerte,24,1,16
1991-01-12,30,Bonny Cepeda,Que Canten Los Ninos,,30,1
1991-01-12,31,Jose Feliciano,No Puedo Estar Sin Ti,27,27,7
1991-01-12,32,Chayanne,Tiempo De Vals,,32,1
1991-01-12,33,Los Temerarios,Solo Te Quiero A Ti,29,17,19
1991-01-12,34,David Pabon,Y Nos Amamos,31,19,8
1991-01-12,35,Bronco: El Gigante De America,Los Castigados,36,31,8
1991-01-12,36,Los Temerarios,Creo Que Voy A Llorar,30,26,14
1991-01-12,37,Los Hijos de Puerto Rico,Fiesta En La Vecindad,40,34,4
1991-01-12,38,Joan Sebastian,Caricatura,35,24,10
1991-01-12,39,Maria Conchita Alonso,Hazme Sentir,33,24,7
1991-01-12,40,Pimpinela,Cuanto Te Quiero,37,13,17
1991-01-19,1,Ana Gabriel,Es Demasiado Tarde,1,1,12
1991-01-19,2,Marisela,Y Se Que Vas A Llorar,3,2,11
1991-01-19,3,Roberto Carlos,Pajaro Herido,2,2,9
1991-01-19,4,Emmanuel,Bella Senora,6,4,5
1991-01-19,5,Rudy La Scala,Cuando Yo Amo,5,5,11
1991-01-19,6,Jose Luis Rodriguez,La Fiesta,8,6,7
1991-01-19,7,Jose Jose,Atrapado,9,7,11
1991-01-19,8,Luis Miguel,Entregate,7,1,18
1991-01-19,9,Braulio,El Tribunal Del Amor,4,3,12
1991-01-19,10,Rocio Durcal,La Balanza,11,10,10
1991-01-19,11,Myriam Hernandez,Te Pareces Tanto A El,10,10,6
1991-01-19,12,Yordano,Madera Fina,19,12,5
1991-01-19,13,Bronco: El Gigante De America,Corazon Duro,16,5,17
1991-01-19,14,Gloria Estefan,Renacer,12,7,13
1991-01-19,15,Banda Blanca,Sopa de Caracol,,15,1
1991-01-19,16,Chayanne,Tiempo De Vals,32,16,2
1991-01-19,17,Luis Enrique,Y Pensar,15,13,7
1991-01-19,18,Juan Luis Guerra 440,Burbujas De Amor,20,2,29
1991-01-19,19,Alejandra Guzman,Ten Cuidado Con El Corazon,21,19,6
1991-01-19,20,Chayanne,Completamente Enamorados,25,1,20
1991-01-19,21,Los Bondadosos,Un Angel No Debe Llorar,28,21,3
1991-01-19,22,Juan Luis Guerra 440,A Pedir Su Mano,13,13,8
1991-01-19,23,Gilberto Santa Rosa,Perdoname,14,11,7
1991-01-19,24,Wilfrido Vargas,Bachata Merengue,24,18,5
1991-01-19,25,Luna,Un Amor Como El Mio,17,15,8
1991-01-19,26,Angelica Maria,Reina Y Cenicienta,22,9,14
1991-01-19,27,Alvaro Torres,Mi Verdadero Amor,26,26,5
1991-01-19,28,Bronco: El Gigante De America,Los Castigados,35,28,9
1991-01-19,29,Jose Feliciano,No Puedo Estar Sin Ti,31,27,8
1991-01-19,30,Vicente Y Alejandro Fernandez,Amor De los Dos,18,14,12
1991-01-19,31,Los Temerarios,Creo Que Voy A Llorar,36,26,15
1991-01-19,32,Beatriz Adriana,Tu Gaban,,32,1
1991-01-19,33,Lisa M Y La Duende Band,Pum Pum,,33,1
1991-01-19,34,Los Temerarios,Solo Te Quiero A Ti,33,17,20
1991-01-19,35,Guillermo Davila,Yo Nesecito Mas De Ti,,35,1
1991-01-19,36,La Patrulla 15,Bebo De Dia Bebo De Noche,,36,1
1991-01-19,37,Bonny Cepeda,Que Canten Los Ninos,30,30,2
1991-01-19,38,Yolandita Monge,Fuiste Un Sueno,23,23,3
1991-01-19,39,Juan Ramon,Pero Vas A Extranarme,27,27,3
1991-01-19,40,Los Hijos de Puerto Rico,Fiesta En La Vecindad,37,34,5
1991-01-26,1,Ana Gabriel,Es Demasiado Tarde,1,1,13
1991-01-26,2,Emmanuel,Bella Senora,4,2,6
1991-01-26,3,Jose Luis Rodriguez,La Fiesta,6,3,8
1991-01-26,4,Roberto Carlos,Pajaro Herido,3,2,10
1991-01-26,5,Marisela,Y Se Que Vas A Llorar,2,2,12
1991-01-26,6,Myriam Hernandez,Te Pareces Tanto A El,11,6,7
1991-01-26,7,Chayanne,Tiempo De Vals,16,7,3
1991-01-26,8,Rudy La Scala,Cuando Yo Amo,5,5,12
1991-01-26,9,Braulio,El Tribunal Del Amor,9,3,13
1991-01-26,10,Banda Blanca,Sopa de Caracol,15,10,2
1991-01-26,11,Jose Jose,Atrapado,7,7,12
1991-01-26,12,Luis Miguel,Entregate,8,1,19
